,judul,waktu,category,isi
0,Wapres Ungkap Data Amerika Soal Ketahanan Pangan Indonesia,"Selasa, 22 Maret 2022 - 17:14 WIB",Sektor Riil,"wakil presiden maruf amin mengungkapkan, berdasarkan data amerika serikat kemampuan bertahan cadangan pangan indonesia pada tahun 2020 hanya sekitar 21 hari."
1,"Lebih Murah, YLKI Khawatir Konsumen Bakal Migrasi ke Minyak Goreng Curah","Selasa, 22 Maret 2022 - 16:48 WIB",Sektor Riil,"ketua yayasan lembaga konsumen indonesia (ylki) tulus abadi menilai, disparitas (selisih) harga antara minyak goreng curah dan kemasan terlalu lebar."
2,Kemenkeu Siapkan 186 Pasal yang Mengatur Pendanaan Ibu Kota Baru,"Selasa, 22 Maret 2022 - 16:24 WIB",Makro,kementerian keuangan tengah menyiapkan 186 pasal dalam aturan turunan rancangan peraturan pelaksanaan (rpp) undang-undang no. 3 tahun 2022 tentang ikn.
3,"Menghijau, IHSG Hari Ini Ditutup Tembus Level 7.000","Selasa, 22 Maret 2022 - 15:37 WIB",Kurs & Saham,"indeks harga saham gabungan (ihsg) hari ini mendarat di zona hijau pada sesi terakhir perdagangan. indeks ditutup naik 45,64 poin atau 0,66% tembus ke 7.000."
4,"Tumbuh Berlipat dari PDB, Ekonomi Digital Jadi Kekuatan RI ke Depan","Selasa, 22 Maret 2022 - 15:29 WIB",Makro,laju pertumbuhan ekonomi digital indonesia diproyeksi mencapai 8 kali lebih cepat daripada pertumbuhan produk domestik bruto (pdb).
5,"Harga Minyak Goreng di Swalayan Mahal, Pengusaha: Harap Maklum","Selasa, 22 Maret 2022 - 14:39 WIB",Sektor Riil,"menyusul dicabutnya aturan harga eceran tertinggi (het), minyak goreng kemasan kini tersedia melimpah di ritel modern dengan harga yang relatif mahal."
6,"Tarif PPN Jadi 11%, Sri Mulyani: Masih di Bawah Rata-rata Dunia 15%","Selasa, 22 Maret 2022 - 14:29 WIB",Makro,menteri keuangan (menkeu) sri mulyani menyatakan bahwa kenaikan ppn menjadi 11% mulai april masih wajar dan berada di bawah rata-rata ppn dunia sebesar 15%.
7,"Sri Mulyani Kasih Sinyal Harga BBM Pertamax Bisa Naik, Pertalite Masih Aman","Selasa, 22 Maret 2022 - 14:01 WIB",Sektor Riil,"menteri keuangan (menkeu) sri mulyani merespons terkait kabar kenaikan harga bahan bakar minyak (bbm) jenis pertalite, ketika harga minyak mentah dunia terus meroket."
8,"Harga Minyak Terus Melaju, Uni Eropa Bimbang Mau Embargo Minyak Rusia","Selasa, 22 Maret 2022 - 13:51 WIB",Sektor Riil,"harga minyak mentah atau crude oil mengalami kenaikan pada perdagangan selasa (22/3/2022), memperpanjang laju penguatan yang terjadi pada sesi sebelumnya."
9,"Dear UMKM, Ini Bocoran Menko Airlangga Soal Komoditas Cuan Kekinian","Selasa, 22 Maret 2022 - 13:10 WIB",Sektor Riil,"menko airlangga mengakui pelaku umkm menjadi critical engine bagi pemulihan ekonomi nasional, dimana kontribusinya mencapai 61ngan menyerap 97% tenaga kerja nasional."
